dataset,seed,rmse,seconds
pmlb/201_pol,0,0.290583,93.0
pmlb/201_pol,1,0.323115,93.5
pmlb/201_pol,2,0.329625,98.2
pmlb/4544_GeographicalOriginalofMusic,0,0.671948,871.6
pmlb/4544_GeographicalOriginalofMusic,1,0.680173,861.9
pmlb/4544_GeographicalOriginalofMusic,2,0.677341,826.7
pmlb/294_satellite_image,0,0.438364,588.6
pmlb/294_satellite_image,1,0.405163,632.1
pmlb/294_satellite_image,2,0.450315,626.0
pol,0,0.287810,189.9
pol,1,0.320477,183.8
pol,2,0.314446,193.6
cpu_act,0,0.163451,416.3
pmlb/197_cpu_act,0,0.163451,406.4
pmlb/573_cpu_act,0,0.163451,403.9
cpu_act,1,0.155993,347.2
pmlb/197_cpu_act,1,0.155993,365.5
pmlb/573_cpu_act,1,0.155993,368.9
cpu_act,2,0.161958,393.1
pmlb/197_cpu_act,2,0.161958,404.6
pmlb/573_cpu_act,2,0.161958,403.7
pmlb/1191_BNG_pbc,0,0.860796,350.9
pmlb/1191_BNG_pbc,1,0.815495,443.4
pmlb/1191_BNG_pbc,2,0.837216,440.1
house_16H,0,0.815142,384.8
elevators,0,0.364570,207.6
pmlb/574_house_16H,0,0.779750,281.8
house_16H,1,0.856343,405.1
elevators,1,0.353604,251.2
pmlb/574_house_16H,1,0.695814,350.4
house_16H,2,0.589879,383.1
elevators,2,0.370736,298.2
pmlb/574_house_16H,2,0.663931,334.8
pmlb/503_wind,0,0.475377,355.7
pmlb/503_wind,1,0.465086,356.8
pmlb/503_wind,2,0.496929,354.9
pmlb/227_cpu_small,0,0.193429,332.0
pmlb/562_cpu_small,0,0.193429,337.7
pmlb/227_cpu_small,1,0.185607,309.5
pmlb/562_cpu_small,1,0.185607,319.1
pmlb/227_cpu_small,2,0.185875,357.0
pmlb/562_cpu_small,2,0.185875,351.0
pmlb/1196_BNG_pharynx,0,0.726994,18.1
pmlb/1203_BNG_pwLinear,0,0.649990,8.3
pmlb/1595_poker,0,0.897757,187.5
pmlb/215_2dplanes,0,0.231185,9.0
pmlb/344_mv,0,0.042154,256.0
pmlb/564_fried,0,0.219038,436.9
pmlb/1196_BNG_pharynx,1,0.736063,17.1
pmlb/1203_BNG_pwLinear,1,0.648497,8.6
pmlb/1595_poker,1,0.941188,180.7
pmlb/215_2dplanes,1,0.232139,9.7
pmlb/344_mv,1,0.044109,250.1
pmlb/564_fried,1,0.213658,432.1
pmlb/1196_BNG_pharynx,2,0.755709,19.1
