dataset,seed,rmse,seconds
pmlb/229_pwLinear,0,0.296911,4.0
pmlb/229_pwLinear,1,0.365598,3.9
pmlb/229_pwLinear,2,0.392224,4.0
pmlb/1027_ESL,0,0.372699,3.0
pmlb/1027_ESL,1,0.308508,2.7
pmlb/1027_ESL,2,0.402366,3.0
pmlb/561_cpu,0,0.510720,35.4
pmlb/561_cpu,1,0.075178,33.3
pmlb/561_cpu,2,0.195816,39.8
pmlb/556_analcatdata_apnea2,0,0.418869,2.0
pmlb/557_analcatdata_apnea1,0,0.353887,1.9
pmlb/556_analcatdata_apnea2,1,0.171680,1.9
pmlb/557_analcatdata_apnea1,1,0.256651,1.9
pmlb/556_analcatdata_apnea2,2,0.274227,1.8
pmlb/557_analcatdata_apnea1,2,0.148368,1.9
pmlb/690_visualizing_galaxy,0,0.152222,13.4
pmlb/690_visualizing_galaxy,1,0.148632,15.9
pmlb/690_visualizing_galaxy,2,0.170161,14.3
pmlb/230_machine_cpu,0,0.532700,36.8
pmlb/230_machine_cpu,1,0.244053,31.0
pmlb/230_machine_cpu,2,0.350178,38.4
pmlb/527_analcatdata_election2000,0,1.403232,89.3
pmlb/527_analcatdata_election2000,1,0.047458,90.6
pmlb/527_analcatdata_election2000,2,0.155466,78.0
pmlb/542_pollution,0,1.335396,88.5
pmlb/542_pollution,1,1.260383,81.3
pmlb/542_pollution,2,0.948744,82.1
pmlb/665_sleuth_case2002,0,0.872047,7.8
pmlb/665_sleuth_case2002,1,0.730449,7.5
pmlb/665_sleuth_case2002,2,0.537462,8.3
pmlb/519_vinnie,0,0.558933,1.1
pmlb/519_vinnie,1,0.493077,1.1
pmlb/519_vinnie,2,0.427911,1.0
pmlb/1089_USCrime,0,0.302396,32.3
pmlb/1089_USCrime,1,0.420427,44.7
pmlb/1089_USCrime,2,0.505324,48.2
pmlb/706_sleuth_case1202,0,0.615489,27.3
pmlb/706_sleuth_case1202,1,0.667832,25.2
pmlb/706_sleuth_case1202,2,0.516078,21.4
pmlb/210_cloud,0,0.284815,17.0
pmlb/210_cloud,1,0.357808,16.6
pmlb/210_cloud,2,0.192501,16.1
pmlb/712_chscase_geyser1,0,0.433763,1.6
pmlb/712_chscase_geyser1,1,0.502468,1.5
pmlb/712_chscase_geyser1,2,0.513229,1.6
pmlb/678_visualizing_environmental,0,0.707292,6.0
pmlb/678_visualizing_environmental,1,0.619539,5.8
pmlb/678_visualizing_environmental,2,1.179808,6.3
pmlb/659_sleuth_ex1714,0,0.558020,74.6
pmlb/659_sleuth_ex1714,1,0.585458,83.4
pmlb/659_sleuth_ex1714,2,0.480597,82.6
pmlb/687_sleuth_ex1605,0,0.707064,41.3
pmlb/687_sleuth_ex1605,1,0.813004,46.8
pmlb/687_sleuth_ex1605,2,0.726773,32.8
pmlb/663_rabe_266,0,0.032427,1.7
pmlb/663_rabe_266,1,0.029322,1.7
pmlb/663_rabe_266,2,0.022980,1.6
pmlb/1096_FacultySalaries,0,0.403338,8.3
pmlb/523_analcatdata_neavote,0,0.211842,0.9
pmlb/1096_FacultySalaries,1,0.530359,9.5
pmlb/523_analcatdata_neavote,1,0.217755,0.9
pmlb/1096_FacultySalaries,2,0.408892,9.3
pmlb/523_analcatdata_neavote,2,0.226653,0.9
pmlb/485_analcatdata_vehicle,0,0.601690,2.2
pmlb/485_analcatdata_vehicle,1,0.427482,2.4
pmlb/485_analcatdata_vehicle,2,0.433760,2.4
pmlb/228_elusage,0,0.490922,1.7
pmlb/228_elusage,1,0.333358,1.6
pmlb/228_elusage,2,0.360346,1.7
pmlb/192_vineyard,0,0.465394,1.0
pmlb/192_vineyard,1,0.567639,1.3
pmlb/192_vineyard,2,1.069970,0.9
