dataset,seed,rmse,seconds
pmlb/229_pwLinear,0,0.329230,1.8
pmlb/229_pwLinear,1,0.463395,1.8
pmlb/229_pwLinear,2,0.436284,1.8
pmlb/1027_ESL,0,0.367878,3.8
pmlb/1027_ESL,1,0.307108,3.6
pmlb/1027_ESL,2,0.394811,3.1
pmlb/561_cpu,0,0.520345,4.9
pmlb/561_cpu,1,0.080693,7.8
pmlb/561_cpu,2,0.198027,5.3
pmlb/556_analcatdata_apnea2,0,0.418869,3.1
pmlb/557_analcatdata_apnea1,0,0.353889,2.4
pmlb/556_analcatdata_apnea2,1,0.173774,2.5
pmlb/557_analcatdata_apnea1,1,0.256648,2.9
pmlb/556_analcatdata_apnea2,2,0.274225,2.6
pmlb/557_analcatdata_apnea1,2,0.148372,2.2
pmlb/690_visualizing_galaxy,0,0.154534,13.1
pmlb/690_visualizing_galaxy,1,0.149809,13.6
pmlb/690_visualizing_galaxy,2,0.172023,14.2
pmlb/230_machine_cpu,0,0.521667,7.5
pmlb/230_machine_cpu,1,0.243174,6.8
pmlb/230_machine_cpu,2,0.355091,8.3
pmlb/527_analcatdata_election2000,0,1.296642,9.0
pmlb/527_analcatdata_election2000,1,0.212333,10.6
pmlb/527_analcatdata_election2000,2,0.179005,9.0
pmlb/542_pollution,0,1.266229,8.2
pmlb/542_pollution,1,0.955720,8.3
pmlb/542_pollution,2,1.006916,8.3
pmlb/665_sleuth_case2002,0,0.904026,1.9
pmlb/665_sleuth_case2002,1,0.731445,1.7
pmlb/665_sleuth_case2002,2,0.538024,1.6
pmlb/519_vinnie,0,0.549077,0.9
pmlb/519_vinnie,1,0.488927,1.0
pmlb/519_vinnie,2,0.422685,0.9
pmlb/1089_USCrime,0,0.295925,4.4
pmlb/1089_USCrime,1,0.435036,4.8
pmlb/1089_USCrime,2,0.421743,4.7
pmlb/706_sleuth_case1202,0,0.523004,2.0
pmlb/706_sleuth_case1202,1,0.707002,2.2
pmlb/706_sleuth_case1202,2,0.554264,1.9
pmlb/210_cloud,0,0.401463,2.5
pmlb/210_cloud,1,0.350713,3.0
pmlb/210_cloud,2,0.179939,2.8
pmlb/712_chscase_geyser1,0,0.430815,2.4
pmlb/712_chscase_geyser1,1,0.499150,2.9
pmlb/712_chscase_geyser1,2,0.514548,2.9
pmlb/678_visualizing_environmental,0,0.710825,2.9
pmlb/678_visualizing_environmental,1,0.674822,3.9
pmlb/678_visualizing_environmental,2,1.189872,3.6
pmlb/659_sleuth_ex1714,0,0.535964,3.2
pmlb/659_sleuth_ex1714,1,0.623794,4.0
pmlb/659_sleuth_ex1714,2,0.406462,4.5
pmlb/687_sleuth_ex1605,0,0.816282,2.4
pmlb/687_sleuth_ex1605,1,0.821606,2.4
