dataset,seed,rmse,seconds
pmlb/201_pol,0,0.298309,827.3
pmlb/201_pol,1,0.325561,846.7
pmlb/201_pol,2,0.334712,900.7
pmlb/4544_GeographicalOriginalofMusic,0,0.668130,1716.0
pmlb/4544_GeographicalOriginalofMusic,1,0.671304,1720.6
pmlb/4544_GeographicalOriginalofMusic,2,0.668584,1679.7
pmlb/294_satellite_image,0,0.430740,502.1
pmlb/294_satellite_image,1,0.404787,534.0
pmlb/294_satellite_image,2,0.441166,518.1
pol,0,0.291444,149.6
pol,1,0.321581,150.1
pol,2,0.318752,161.0
cpu_act,0,0.164498,396.5
pmlb/197_cpu_act,0,0.164498,404.6
pmlb/573_cpu_act,0,0.164498,405.7
cpu_act,1,0.156458,396.5
pmlb/197_cpu_act,1,0.156458,404.7
pmlb/573_cpu_act,1,0.156458,403.4
cpu_act,2,0.162528,446.7
pmlb/197_cpu_act,2,0.162528,458.3
pmlb/573_cpu_act,2,0.162528,459.7
pmlb/1191_BNG_pbc,0,0.857410,399.1
pmlb/1191_BNG_pbc,1,0.814926,513.7
pmlb/1191_BNG_pbc,2,0.832777,508.3
house_16H,0,0.806819,449.1
elevators,0,0.366938,225.2
pmlb/574_house_16H,0,0.778762,326.3
house_16H,1,0.855713,461.7
elevators,1,0.356486,293.4
pmlb/574_house_16H,1,0.696191,401.0
house_16H,2,0.589976,453.2
elevators,2,0.371694,331.2
pmlb/574_house_16H,2,0.664698,382.1
pmlb/503_wind,0,0.475057,427.6
pmlb/503_wind,1,0.464729,401.3
pmlb/503_wind,2,0.496565,413.9
pmlb/227_cpu_small,0,0.194114,384.4
pmlb/562_cpu_small,0,0.194114,398.5
pmlb/227_cpu_small,1,0.184764,364.9
pmlb/562_cpu_small,1,0.184764,367.3
pmlb/227_cpu_small,2,0.186514,405.2
pmlb/562_cpu_small,2,0.186514,407.7
pmlb/1196_BNG_pharynx,0,0.726811,18.7
pmlb/1203_BNG_pwLinear,0,0.650029,7.5
pmlb/1595_poker,0,0.925764,214.0
pmlb/215_2dplanes,0,0.230831,6.7
pmlb/344_mv,0,0.043539,290.3
pmlb/564_fried,0,0.220293,507.5
pmlb/1196_BNG_pharynx,1,0.736014,16.1
pmlb/1203_BNG_pwLinear,1,0.647914,6.7
pmlb/1595_poker,1,0.942504,204.6
pmlb/215_2dplanes,1,0.233358,7.2
pmlb/344_mv,1,0.045669,298.3
pmlb/564_fried,1,0.214550,496.1
pmlb/1196_BNG_pharynx,2,0.754982,18.4
pmlb/1203_BNG_pwLinear,2,0.628972,6.0
pmlb/1595_poker,2,0.919264,197.3
pmlb/215_2dplanes,2,0.235840,7.2
pmlb/344_mv,2,0.045669,301.9
pmlb/564_fried,2,0.220887,537.0
pmlb/505_tecator,0,0.114874,382.0
pmlb/505_tecator,1,0.097189,384.9
pmlb/505_tecator,2,0.076310,338.9
pmlb/1193_BNG_lowbwt,0,0.651735,32.1
pmlb/1199_BNG_echoMonths,0,0.739852,411.7
pmlb/1201_BNG_breastTumor,0,0.935289,19.8
pmlb/1193_BNG_lowbwt,1,0.635131,29.1
pmlb/1199_BNG_echoMonths,1,0.746736,406.1
pmlb/1201_BNG_breastTumor,1,0.992866,22.3
pmlb/1193_BNG_lowbwt,2,0.632426,31.0
pmlb/1199_BNG_echoMonths,2,0.756263,396.6
pmlb/1201_BNG_breastTumor,2,0.937923,19.3
california,0,0.640340,502.8
abalone,0,0.687144,279.1
kin8nm,0,0.710102,515.5
pmlb/1028_SWD,0,0.802161,5.6
pmlb/218_house_8L,0,0.699616,358.4
pmlb/225_puma8NH,0,0.594073,514.9
pmlb/537_houses,0,0.492571,504.4
pmlb/titanic,0,0.839143,29.0
california,1,0.650795,509.4
abalone,1,0.670515,370.7
kin8nm,1,0.670607,506.8
pmlb/1028_SWD,1,0.775985,6.6
pmlb/218_house_8L,1,0.626042,372.0
pmlb/225_puma8NH,1,0.560148,521.4
pmlb/537_houses,1,0.494763,512.6
pmlb/titanic,1,0.826843,30.5
california,2,0.631023,510.7
abalone,2,0.689958,372.5
kin8nm,2,0.692355,505.2
pmlb/1028_SWD,2,0.859747,6.2
pmlb/218_house_8L,2,0.621515,306.3
pmlb/225_puma8NH,2,0.583425,509.8
pmlb/537_houses,2,0.500337,455.2
pmlb/titanic,2,0.819583,33.9
pmlb/666_rmftsa_ladata,0,0.712112,81.2
pmlb/666_rmftsa_ladata,1,0.924565,82.8
pmlb/666_rmftsa_ladata,2,0.560466,79.7
pmlb/529_pollen,0,0.479405,64.1
pmlb/529_pollen,1,0.471802,60.8
pmlb/529_pollen,2,0.456209,60.5
pmlb/1029_LEV,0,0.712937,3.8
pmlb/1030_ERA,0,0.805558,19.8
pmlb/1029_LEV,1,0.668517,3.9
pmlb/1030_ERA,1,0.809935,20.0
pmlb/1029_LEV,2,0.764835,3.9
pmlb/1030_ERA,2,0.770675,18.5
pmlb/560_bodyfat,0,0.090880,48.0
pmlb/560_bodyfat,1,0.106807,44.0
pmlb/560_bodyfat,2,0.118764,47.9
pmlb/522_pm10,0,0.811979,53.3
pmlb/547_no2,0,0.616196,50.7
pmlb/522_pm10,1,0.826310,54.8
pmlb/547_no2,1,0.520289,53.2
pmlb/522_pm10,2,0.757873,52.1
pmlb/547_no2,2,0.578475,52.5
pmlb/695_chatfield_4,0,0.401164,46.8
pmlb/695_chatfield_4,1,0.381482,44.4
pmlb/695_chatfield_4,2,0.411249,41.9
pmlb/banana,0,0.564777,4.6
pmlb/banana,1,0.570886,5.4
pmlb/banana,2,0.595684,4.2
pmlb/229_pwLinear,0,0.345503,2.0
pmlb/229_pwLinear,1,0.465490,2.0
pmlb/229_pwLinear,2,0.440453,2.0
pmlb/1027_ESL,0,0.366571,3.7
pmlb/1027_ESL,1,0.306958,3.5
pmlb/1027_ESL,2,0.398059,3.4
pmlb/561_cpu,0,0.551439,5.7
pmlb/561_cpu,1,0.059690,6.3
pmlb/561_cpu,2,0.191742,6.5
pmlb/556_analcatdata_apnea2,0,0.420456,2.9
pmlb/557_analcatdata_apnea1,0,0.353767,2.9
pmlb/556_analcatdata_apnea2,1,0.172235,2.9
pmlb/557_analcatdata_apnea1,1,0.251823,2.9
pmlb/556_analcatdata_apnea2,2,0.273538,2.9
pmlb/557_analcatdata_apnea1,2,0.154534,2.6
pmlb/690_visualizing_galaxy,0,0.153645,14.1
pmlb/690_visualizing_galaxy,1,0.149552,14.2
pmlb/690_visualizing_galaxy,2,0.171387,12.4
pmlb/230_machine_cpu,0,0.558827,4.8
pmlb/230_machine_cpu,1,0.261946,7.5
pmlb/230_machine_cpu,2,0.336619,8.7
pmlb/527_analcatdata_election2000,0,1.549197,9.3
pmlb/527_analcatdata_election2000,1,0.057861,10.1
pmlb/527_analcatdata_election2000,2,0.350617,11.0
pmlb/542_pollution,0,1.092208,7.4
pmlb/542_pollution,1,0.796564,8.6
pmlb/542_pollution,2,0.799043,8.1
pmlb/665_sleuth_case2002,0,0.882374,1.9
pmlb/665_sleuth_case2002,1,0.710452,1.7
pmlb/665_sleuth_case2002,2,0.526106,1.8
pmlb/519_vinnie,0,0.553936,0.9
pmlb/519_vinnie,1,0.485411,1.0
pmlb/519_vinnie,2,0.423362,1.0
pmlb/1089_USCrime,0,0.263354,4.5
pmlb/1089_USCrime,1,0.293823,4.9
pmlb/1089_USCrime,2,0.425873,4.8
pmlb/706_sleuth_case1202,0,0.473559,2.0
pmlb/706_sleuth_case1202,1,0.724630,2.4
pmlb/706_sleuth_case1202,2,0.554863,1.9
pmlb/210_cloud,0,0.393977,2.6
pmlb/210_cloud,1,0.357688,2.9
pmlb/210_cloud,2,0.212871,2.7
pmlb/712_chscase_geyser1,0,0.435756,2.3
pmlb/712_chscase_geyser1,1,0.499110,2.7
pmlb/712_chscase_geyser1,2,0.512060,2.3
pmlb/678_visualizing_environmental,0,0.723177,3.3
pmlb/678_visualizing_environmental,1,0.691733,3.4
pmlb/678_visualizing_environmental,2,1.175948,3.5
pmlb/659_sleuth_ex1714,0,0.538664,3.7
pmlb/659_sleuth_ex1714,1,0.459440,3.8
pmlb/659_sleuth_ex1714,2,0.351112,4.0
pmlb/687_sleuth_ex1605,0,0.776905,2.5
pmlb/687_sleuth_ex1605,1,0.570562,2.5
pmlb/687_sleuth_ex1605,2,0.732315,2.3
pmlb/663_rabe_266,0,0.032457,2.2
pmlb/663_rabe_266,1,0.020368,1.8
pmlb/663_rabe_266,2,0.016559,2.0
pmlb/1096_FacultySalaries,0,0.376620,2.8
pmlb/523_analcatdata_neavote,0,0.217854,0.8
pmlb/1096_FacultySalaries,1,0.581497,1.4
pmlb/523_analcatdata_neavote,1,0.218165,0.7
pmlb/1096_FacultySalaries,2,0.413347,1.2
pmlb/523_analcatdata_neavote,2,0.226644,0.7
pmlb/485_analcatdata_vehicle,0,0.780081,0.9
pmlb/485_analcatdata_vehicle,1,0.496904,0.9
pmlb/485_analcatdata_vehicle,2,0.470461,0.9
pmlb/228_elusage,0,0.521412,2.5
pmlb/228_elusage,1,0.355145,2.5
pmlb/228_elusage,2,0.421994,2.3
pmlb/192_vineyard,0,0.408237,1.4
pmlb/192_vineyard,1,0.615877,1.4
pmlb/192_vineyard,2,1.070092,1.2
