dataset,seed,rmse,seconds
pmlb/229_pwLinear,0,0.296911,5.2
pmlb/229_pwLinear,1,0.365598,5.2
pmlb/229_pwLinear,2,0.392224,4.9
pmlb/1027_ESL,0,0.380333,3.2
pmlb/1027_ESL,1,0.306670,3.2
pmlb/1027_ESL,2,0.399554,3.2
pmlb/561_cpu,0,0.510720,36.4
pmlb/561_cpu,1,0.075178,34.0
pmlb/561_cpu,2,0.195816,38.8
pmlb/556_analcatdata_apnea2,0,0.416047,2.5
pmlb/557_analcatdata_apnea1,0,0.330251,2.6
pmlb/556_analcatdata_apnea2,1,0.255523,2.1
pmlb/557_analcatdata_apnea1,1,0.317290,2.0
pmlb/556_analcatdata_apnea2,2,0.313198,2.2
pmlb/557_analcatdata_apnea1,2,0.187665,2.2
pmlb/690_visualizing_galaxy,0,0.155434,14.8
pmlb/690_visualizing_galaxy,1,0.160430,15.0
pmlb/690_visualizing_galaxy,2,0.178471,13.3
pmlb/230_machine_cpu,0,0.532700,39.6
pmlb/230_machine_cpu,1,0.244053,33.2
pmlb/230_machine_cpu,2,0.350178,43.8
pmlb/527_analcatdata_election2000,0,1.403232,104.9
pmlb/527_analcatdata_election2000,1,0.047458,112.2
pmlb/527_analcatdata_election2000,2,0.155466,95.8
pmlb/542_pollution,0,1.335396,107.4
pmlb/542_pollution,1,1.260383,90.3
pmlb/542_pollution,2,0.948744,86.8
pmlb/665_sleuth_case2002,0,0.872047,8.6
pmlb/665_sleuth_case2002,1,0.730449,7.5
pmlb/665_sleuth_case2002,2,0.537462,7.6
pmlb/519_vinnie,0,0.561755,0.9
pmlb/519_vinnie,1,0.536694,0.9
pmlb/519_vinnie,2,0.424156,1.0
pmlb/1089_USCrime,0,0.302396,34.3
pmlb/1089_USCrime,1,0.420427,47.6
pmlb/1089_USCrime,2,0.505324,46.2
pmlb/706_sleuth_case1202,0,0.615489,25.7
pmlb/706_sleuth_case1202,1,0.667832,23.5
pmlb/706_sleuth_case1202,2,0.516078,18.6
pmlb/210_cloud,0,0.284815,15.8
pmlb/210_cloud,1,0.357808,14.2
pmlb/210_cloud,2,0.192501,13.8
pmlb/712_chscase_geyser1,0,0.433763,1.5
pmlb/712_chscase_geyser1,1,0.502468,1.4
pmlb/712_chscase_geyser1,2,0.513229,1.3
pmlb/678_visualizing_environmental,0,0.707292,5.5
pmlb/678_visualizing_environmental,1,0.619539,4.8
pmlb/678_visualizing_environmental,2,1.179808,7.2
pmlb/659_sleuth_ex1714,0,0.558020,95.2
pmlb/659_sleuth_ex1714,1,0.585458,97.3
pmlb/659_sleuth_ex1714,2,0.480597,97.1
pmlb/687_sleuth_ex1605,0,0.707064,49.0
pmlb/687_sleuth_ex1605,1,0.813004,53.0
pmlb/687_sleuth_ex1605,2,0.726773,25.6
pmlb/663_rabe_266,0,0.032427,1.4
pmlb/663_rabe_266,1,0.029322,1.5
pmlb/663_rabe_266,2,0.022980,1.6
pmlb/1096_FacultySalaries,0,0.403338,7.6
pmlb/523_analcatdata_neavote,0,0.211842,0.9
pmlb/1096_FacultySalaries,1,0.530359,8.0
pmlb/523_analcatdata_neavote,1,0.217755,0.9
pmlb/1096_FacultySalaries,2,0.408892,6.9
pmlb/523_analcatdata_neavote,2,0.226653,0.7
pmlb/485_analcatdata_vehicle,0,0.601690,1.7
pmlb/485_analcatdata_vehicle,1,0.427482,1.9
pmlb/485_analcatdata_vehicle,2,0.433760,1.8
pmlb/228_elusage,0,0.490922,1.4
pmlb/228_elusage,1,0.333358,1.3
pmlb/228_elusage,2,0.360346,1.4
pmlb/192_vineyard,0,0.465394,0.9
pmlb/192_vineyard,1,0.567639,1.1
pmlb/192_vineyard,2,1.069970,0.9
