dataset,seed,rmse,seconds
pmlb/229_pwLinear,0,0.345503,1.6
pmlb/229_pwLinear,1,0.465490,1.6
pmlb/229_pwLinear,2,0.440453,1.6
pmlb/1027_ESL,0,0.367136,2.6
pmlb/1027_ESL,1,0.307138,2.4
pmlb/1027_ESL,2,0.398442,2.4
pmlb/561_cpu,0,0.549688,3.7
pmlb/561_cpu,1,0.053587,5.2
pmlb/561_cpu,2,0.195222,4.8
pmlb/556_analcatdata_apnea2,0,0.420857,2.0
pmlb/557_analcatdata_apnea1,0,0.354177,2.4
pmlb/556_analcatdata_apnea2,1,0.172263,2.2
pmlb/557_analcatdata_apnea1,1,0.252328,2.1
pmlb/556_analcatdata_apnea2,2,0.273382,2.2
pmlb/557_analcatdata_apnea1,2,0.154473,2.5
pmlb/690_visualizing_galaxy,0,0.159374,11.8
pmlb/690_visualizing_galaxy,1,0.148557,11.9
pmlb/690_visualizing_galaxy,2,0.169714,11.0
pmlb/230_machine_cpu,0,0.562150,4.2
pmlb/230_machine_cpu,1,0.262888,5.6
pmlb/230_machine_cpu,2,0.318416,7.1
pmlb/527_analcatdata_election2000,0,1.546432,9.9
pmlb/527_analcatdata_election2000,1,0.060066,10.7
pmlb/527_analcatdata_election2000,2,0.350629,12.7
pmlb/542_pollution,0,1.091623,10.0
pmlb/542_pollution,1,0.795787,10.0
pmlb/542_pollution,2,0.797993,10.3
pmlb/665_sleuth_case2002,0,0.884060,1.9
pmlb/665_sleuth_case2002,1,0.709155,1.9
pmlb/665_sleuth_case2002,2,0.524717,2.1
pmlb/519_vinnie,0,0.554610,1.0
pmlb/519_vinnie,1,0.485289,1.0
pmlb/519_vinnie,2,0.424107,1.2
pmlb/1089_USCrime,0,0.261797,5.8
pmlb/1089_USCrime,1,0.293570,5.5
pmlb/1089_USCrime,2,0.427053,5.7
pmlb/706_sleuth_case1202,0,0.473008,2.0
pmlb/706_sleuth_case1202,1,0.725100,2.9
pmlb/706_sleuth_case1202,2,0.557387,2.3
pmlb/210_cloud,0,0.395680,2.8
pmlb/210_cloud,1,0.367042,3.4
pmlb/210_cloud,2,0.213829,3.2
pmlb/712_chscase_geyser1,0,0.436186,3.3
pmlb/712_chscase_geyser1,1,0.498676,3.2
pmlb/712_chscase_geyser1,2,0.512397,3.3
pmlb/678_visualizing_environmental,0,0.712991,3.8
pmlb/678_visualizing_environmental,1,0.639684,4.2
pmlb/678_visualizing_environmental,2,1.165039,4.2
pmlb/659_sleuth_ex1714,0,0.537598,3.9
pmlb/659_sleuth_ex1714,1,0.459041,4.9
pmlb/659_sleuth_ex1714,2,0.359312,4.6
pmlb/687_sleuth_ex1605,0,0.843207,2.2
pmlb/687_sleuth_ex1605,1,0.664708,2.7
pmlb/687_sleuth_ex1605,2,0.724631,3.3
pmlb/663_rabe_266,0,0.032295,2.8
pmlb/663_rabe_266,1,0.020214,2.2
pmlb/663_rabe_266,2,0.016630,2.4
pmlb/1096_FacultySalaries,0,0.431763,3.7
pmlb/523_analcatdata_neavote,0,0.217854,0.8
pmlb/1096_FacultySalaries,1,0.603048,1.4
pmlb/523_analcatdata_neavote,1,0.218165,0.8
pmlb/1096_FacultySalaries,2,0.499746,1.4
pmlb/523_analcatdata_neavote,2,0.226644,0.8
pmlb/485_analcatdata_vehicle,0,0.778820,1.1
pmlb/485_analcatdata_vehicle,1,0.496924,1.0
pmlb/485_analcatdata_vehicle,2,0.470651,1.1
pmlb/228_elusage,0,0.523143,2.8
pmlb/228_elusage,1,0.355463,3.2
pmlb/228_elusage,2,0.422852,2.9
pmlb/192_vineyard,0,0.407621,1.7
pmlb/192_vineyard,1,0.615442,1.8
pmlb/192_vineyard,2,1.070413,1.3
