dataset,seed,rmse,seconds
pmlb/201_pol,0,0.426530,19.7
pmlb/201_pol,1,0.484970,15.0
pmlb/201_pol,2,0.493803,19.6
pmlb/4544_GeographicalOriginalofMusic,0,0.772898,443.1
pmlb/4544_GeographicalOriginalofMusic,1,0.701231,428.4
pmlb/4544_GeographicalOriginalofMusic,2,0.684996,440.7
pmlb/294_satellite_image,0,0.443524,223.4
pmlb/294_satellite_image,1,0.456520,242.3
pmlb/294_satellite_image,2,0.515189,236.9
pol,0,0.434690,34.5
pol,1,0.490151,25.7
pol,2,0.497431,28.6
cpu_act,0,0.214133,103.2
pmlb/197_cpu_act,0,0.214133,107.7
pmlb/573_cpu_act,0,0.214133,109.6
cpu_act,1,0.247695,97.4
pmlb/197_cpu_act,1,0.247695,97.9
pmlb/573_cpu_act,1,0.247695,99.4
cpu_act,2,0.162480,103.5
pmlb/197_cpu_act,2,0.162480,101.0
pmlb/573_cpu_act,2,0.162480,97.8
pmlb/1191_BNG_pbc,0,0.884772,40.8
pmlb/1191_BNG_pbc,1,0.834191,39.1
pmlb/1191_BNG_pbc,2,0.919807,36.6
house_16H,0,1.016672,85.3
elevators,0,0.443036,31.3
pmlb/574_house_16H,0,0.941771,87.1
house_16H,1,1.081126,86.7
elevators,1,0.362945,30.0
pmlb/574_house_16H,1,0.868024,78.7
house_16H,2,0.720409,81.2
elevators,2,0.517836,32.1
pmlb/574_house_16H,2,0.832444,66.4
pmlb/503_wind,0,0.534618,46.4
pmlb/503_wind,1,0.511160,42.8
pmlb/503_wind,2,0.571640,75.2
pmlb/227_cpu_small,0,0.236871,40.5
pmlb/562_cpu_small,0,0.236871,44.6
pmlb/227_cpu_small,1,0.281171,58.8
pmlb/562_cpu_small,1,0.281171,59.2
pmlb/227_cpu_small,2,0.188328,66.7
pmlb/562_cpu_small,2,0.188328,62.1
pmlb/1196_BNG_pharynx,0,0.775015,6.4
pmlb/1203_BNG_pwLinear,0,0.790584,3.6
pmlb/1595_poker,0,1.061899,9.7
pmlb/215_2dplanes,0,0.348904,3.5
