dataset,seed,rmse,seconds
pmlb/537_houses,1,0.490421,80.4
pmlb/titanic,1,0.811517,7.9
california,2,0.636434,79.1
abalone,2,0.691475,64.5
kin8nm,2,0.704122,78.8
pmlb/1028_SWD,2,0.859408,3.9
pmlb/218_house_8L,2,0.611124,60.7
pmlb/225_puma8NH,2,0.586983,80.4
pmlb/537_houses,2,0.504974,77.3
pmlb/titanic,2,0.817759,7.0
pmlb/666_rmftsa_ladata,1,0.910776,78.4
pmlb/666_rmftsa_ladata,2,0.580636,79.9
pmlb/529_pollen,1,0.471886,15.6
pmlb/529_pollen,2,0.453606,14.7
pmlb/1029_LEV,1,0.668113,4.1
pmlb/1030_ERA,1,0.812021,7.7
pmlb/1029_LEV,2,0.764641,2.5
pmlb/1030_ERA,2,0.766863,8.2
pmlb/560_bodyfat,1,0.105807,91.7
pmlb/560_bodyfat,2,0.090924,93.2
pmlb/522_pm10,1,0.844301,80.0
pmlb/547_no2,1,0.521486,76.6
pmlb/522_pm10,2,0.763271,71.7
pmlb/547_no2,2,0.571760,70.2
pmlb/695_chatfield_4,1,0.399745,86.0
pmlb/695_chatfield_4,2,0.431451,84.2
pmlb/banana,1,0.596119,2.0
pmlb/banana,2,0.638015,1.7
pmlb/229_pwLinear,1,0.365598,3.1
pmlb/229_pwLinear,2,0.392224,3.1
pmlb/1027_ESL,1,0.308440,2.3
pmlb/1027_ESL,2,0.396354,2.5
pmlb/561_cpu,1,0.103113,27.9
pmlb/561_cpu,2,0.204631,31.9
pmlb/556_analcatdata_apnea2,1,0.171496,1.5
pmlb/557_analcatdata_apnea1,1,0.256626,1.5
pmlb/556_analcatdata_apnea2,2,0.274351,1.4
pmlb/557_analcatdata_apnea1,2,0.148505,1.4
pmlb/690_visualizing_galaxy,1,0.149897,11.0
pmlb/690_visualizing_galaxy,2,0.173259,10.3
pmlb/230_machine_cpu,1,0.252832,22.9
pmlb/230_machine_cpu,2,0.359913,29.4
pmlb/527_analcatdata_election2000,1,0.050380,67.5
pmlb/527_analcatdata_election2000,2,0.619628,76.5
pmlb/542_pollution,1,1.074711,68.9
pmlb/542_pollution,2,0.732624,72.1
pmlb/665_sleuth_case2002,1,0.726758,5.5
pmlb/665_sleuth_case2002,2,0.539184,6.2
pmlb/519_vinnie,1,0.486636,0.8
pmlb/519_vinnie,2,0.420418,0.7
pmlb/1089_USCrime,1,0.374645,30.0
pmlb/1089_USCrime,2,0.473252,30.2
pmlb/706_sleuth_case1202,1,0.657238,16.6
pmlb/706_sleuth_case1202,2,0.494330,13.9
pmlb/210_cloud,1,0.347181,11.8
pmlb/210_cloud,2,0.193893,11.1
pmlb/712_chscase_geyser1,1,0.511899,1.2
pmlb/712_chscase_geyser1,2,0.515333,1.1
pmlb/678_visualizing_environmental,1,0.620827,4.3
pmlb/678_visualizing_environmental,2,1.165253,4.6
pmlb/659_sleuth_ex1714,1,0.584883,56.7
pmlb/659_sleuth_ex1714,2,0.377115,56.8
pmlb/687_sleuth_ex1605,1,0.873921,37.1
pmlb/687_sleuth_ex1605,2,0.690569,33.4
pmlb/663_rabe_266,1,0.030762,1.4
pmlb/663_rabe_266,2,0.022020,1.4
pmlb/1096_FacultySalaries,1,0.555947,7.5
pmlb/523_analcatdata_neavote,1,0.217755,0.7
pmlb/1096_FacultySalaries,2,0.403738,7.0
pmlb/523_analcatdata_neavote,2,0.226653,0.7
pmlb/485_analcatdata_vehicle,1,0.427412,1.6
pmlb/485_analcatdata_vehicle,2,0.433907,1.6
pmlb/228_elusage,1,0.318780,1.4
pmlb/228_elusage,2,0.370881,1.1
pmlb/192_vineyard,1,0.568718,1.0
pmlb/192_vineyard,2,1.059906,0.9
