dataset,model,rmse,rank
openml/44065,HingeEBM_big,0.804410,12
openml/44065,SklearnGAM_hybrid,0.841945,25
openml/44065,SmoothGAM_RF,0.805676,15
openml/44065,HingeEBM_LinDisp,0.804160,10
openml/44065,SmartAdditive_v5,0.838316,21
openml/44065,SmoothGAM_noES,0.841892,23
openml/44065,SmoothGAM_hybrid,0.783683,5
openml/44065,SmartAddGAM_r90,0.781439,3
openml/44065,SmoothGAM_RF100,0.803736,9
openml/44065,SmartAdditive_v1,0.781435,1
openml/44065,HingeEBM_5bag,0.804562,13
openml/44065,HingeEBM_smart,0.804160,11
openml/44065,SmoothGAM_RF_sqrt,0.816474,18
openml/44065,SmoothGAM_tinyGBM,0.823217,20
openml/44065,FullPWC_LinDisp,0.781435,2
openml/44065,SmoothGAM_40s,0.815555,17
openml/44065,HingeGBM_v1,0.803612,8
openml/44065,SklearnStumpGAM_v1,0.781442,4
openml/44065,SmoothGAM_50s,0.813417,16
openml/44065,SmoothGAM_r70hyb,0.841892,24
openml/44065,DistilledGAM_v1,0.821004,19
openml/44065,SmartAdditive_v2,0.838316,22
openml/44065,HingeEBM_v1,0.804970,14
openml/44065,SmoothGAM_v1,0.783715,6
openml/44065,SmoothGAM_ES,0.783715,7
openml/44066,HingeEBM_big,0.406124,5
openml/44066,SklearnGAM_hybrid,0.453458,16
openml/44066,SmoothGAM_RF,0.453458,17
openml/44066,HingeEBM_LinDisp,0.400754,1
openml/44066,SmartAdditive_v5,0.448822,7
openml/44066,SmoothGAM_noES,0.453458,18
openml/44066,SmoothGAM_hybrid,0.448953,10
openml/44066,SmartAddGAM_r90,0.448822,8
openml/44066,SmoothGAM_RF100,0.453458,19
openml/44066,SmartAdditive_v1,0.451738,13
openml/44066,HingeEBM_5bag,0.403129,4
openml/44066,HingeEBM_smart,0.400754,2
openml/44066,SmoothGAM_RF_sqrt,0.453458,20
openml/44066,SmoothGAM_tinyGBM,0.453458,21
openml/44066,FullPWC_LinDisp,0.451738,14
openml/44066,SmoothGAM_40s,0.453458,22
openml/44066,HingeGBM_v1,0.428078,6
openml/44066,SklearnStumpGAM_v1,0.451878,15
openml/44066,SmoothGAM_50s,0.453458,23
openml/44066,SmoothGAM_r70hyb,0.453458,24
openml/44066,DistilledGAM_v1,0.484755,25
openml/44066,SmartAdditive_v2,0.448822,9
openml/44066,HingeEBM_v1,0.402982,3
openml/44066,SmoothGAM_v1,0.450240,11
openml/44066,SmoothGAM_ES,0.450240,12
openml/44068,HingeEBM_big,0.613513,2
openml/44068,SklearnGAM_hybrid,0.704488,23
openml/44068,SmoothGAM_RF,0.633158,17
openml/44068,HingeEBM_LinDisp,0.615821,11
openml/44068,SmartAdditive_v5,0.614392,4
openml/44068,SmoothGAM_noES,0.704488,24
openml/44068,SmoothGAM_hybrid,0.626458,14
openml/44068,SmartAddGAM_r90,0.614392,5
openml/44068,SmoothGAM_RF100,0.633431,18
openml/44068,SmartAdditive_v1,0.614392,6
openml/44068,HingeEBM_5bag,0.613624,3
openml/44068,HingeEBM_smart,0.615821,12
