commit,n_solved,geo_mean_time,n_wrong,mean_objective,mean_regret,exact,multicore,status,model_name,description
baseline,38,0.454,0,0.3338,0.0264,approximate,true,baseline,gosdt_mc8,"reference C++ GOSDT with worker_limit=8 (8 TBB worker threads), otherwise as gosdt [NOT EXACT: same false certificate]"
baseline,46,0.473,1,0.3256,0.0182,approximate,false,baseline,gosdt,"reference C++ GOSDT (ICML 2020 code, default bounds, single thread) [NOT EXACT: scope-conditional lower bounds are cached unconditionally, verified false certificate on tic-tac-toe lambda=0.02 (baselines/gosdt_patches/scope-lowerbound.patch)]"
baseline,56,0.099,0,0.3102,0.0029,exact,false,baseline,pygosdt_v1,"pygosdt_v1 package: memoised depth-first branch-and-bound with the reference bounds, numba kernel"
baseline,51,0.360,0,0.3097,0.0023,exact,false,baseline,streed,"STreeD (van der Linden et al.) cost-complex-accuracy DP on the same binarization, max depth 20"
baseline,46,0.506,0,0.3598,0.0524,exact,false,baseline,gosdt_guesses,"gosdt-guesses (McTavish et al. 2022) C++ core in exact mode: same binarization, no reference labels, no depth budget"
baseline,0,0.131,0,0.3635,0.0562,approximate,false,baseline,split,"SPLIT (Babbar et al. 2025): lookahead-2 prefix + optimal GOSDT leaf completion, depth budget 5, same binarization; heuristic"
baseline,0,0.001,0,0.3512,0.0438,approximate,false,baseline,gosdt_guesses_guided,"gosdt-guesses with the paper's guesses: GBDT threshold guessing (40 stumps) and reference-label lower bounds, no depth budget; not exact"
