model,dataset,n,p,lam,objective,errors,leaves,seconds,wall,status,size,iterations,binary_features,lb,ub,known_objective,known_certified,verdict
gosdt,compas_binned,,,0.02,0.4010829593166353,2494.0,2.0,0.0,,optimal,,,,,,0.401083,True,ok
gosdt,compas_binned,,,0.01,0.3748675256985666,2382.0,3.0,0.008,,optimal,,,,,,0.374868,True,ok
gosdt,compas_binned,,,0.005,0.355968582597365,2286.0,5.0,0.064,,optimal,,,,,,0.355969,True,ok
gosdt,fico_binary,,,0.1,0.5040443637058992,3180.0,2.0,0.0,,optimal,,,,,,0.504044,True,ok
gosdt,fico_binary,,,0.05,0.4040443637058992,3180.0,2.0,0.002,,optimal,,,,,,0.404044,True,ok
gosdt,fico_binary,,,0.02,0.3440443637058992,3180.0,2.0,0.084,,optimal,,,,,,0.344044,True,ok
gosdt,fico_binary,,,0.01,0.3240443637058992,3180.0,2.0,3.344,,optimal,,,,,,0.324044,True,ok
gosdt,fico_binary,,,0.005,0.308650922650349,3019.0,4.0,30.0,,time,,,,,,0.308651,True,ok
gosdt,compas_processed,,,0.1,0.411364187060819,3855.0,1.0,30.0,,time,,,,,,0.411364,True,ok
gosdt,compas_processed,,,0.05,0.3613641870608189,3855.0,1.0,30.0,,time,,,,,,0.361364,False,ok
gosdt,compas_processed,,,0.02,,,,30.0,,time,,,,,,0.32786,False,no_tree
gosdt,compas_processed,,,0.01,,,,30.0,,time,,,,,,0.30786,False,no_tree
gosdt,compas_processed,,,0.005,,,,30.0,,time,,,,,,0.29786,False,no_tree
pygosdt_v1,chudi,,,0.1,0.464935064935065,5.0,4.0,0.0023939169477671,,optimal,,,,,,0.464935,True,ok
pygosdt_v1,chudi,,,0.05,0.25,0.0,5.0,0.0056854580179788,,optimal,,,,,,0.25,True,ok
pygosdt_v1,chudi,,,0.02,0.1,0.0,5.0,0.0102417079615406,,optimal,,,,,,0.1,True,ok
pygosdt_v1,chudi,,,0.01,0.05,0.0,5.0,0.0107096249703317,,optimal,,,,,,0.05,True,ok
pygosdt_v1,chudi,,,0.005,0.025,0.0,5.0,0.0108717919792979,,optimal,,,,,,0.025,True,ok
pygosdt_v1,monk_3,,,0.1,0.5213114754098361,27.0,3.0,0.0006269589648582,,optimal,,,,,,0.521311,True,ok
pygosdt_v1,monk_3,,,0.05,0.3713114754098361,27.0,3.0,0.0029375000158324,,optimal,,,,,,0.371311,True,ok
pygosdt_v1,monk_3,,,0.02,0.2429508196721311,15.0,6.0,0.0217426249873824,,optimal,,,,,,0.242951,True,ok
pygosdt_v1,monk_3,,,0.01,0.1555737704918032,8.0,9.0,0.0536201669601723,,optimal,,,,,,0.155574,True,ok
pygosdt_v1,monk_3,,,0.005,0.0945901639344262,3.0,14.0,0.0944934589788317,,optimal,,,,,,0.09459,True,ok
pygosdt_v1,monk_1,,,0.1,0.4661290322580645,33.0,2.0,0.0007814589771442,,optimal,,,,,,0.466129,True,ok
pygosdt_v1,monk_1,,,0.05,0.3387096774193548,11.0,5.0,0.0026683750329539,,optimal,,,,,,0.33871,True,ok
pygosdt_v1,monk_1,,,0.02,0.16,0.0,8.0,0.007693332969211,,optimal,,,,,,0.16,True,ok
pygosdt_v1,monk_1,,,0.01,0.08,0.0,8.0,0.0094587500207126,,optimal,,,,,,0.08,True,ok
pygosdt_v1,monk_1,,,0.005,0.04,0.0,8.0,0.0103255419526249,,optimal,,,,,,0.04,True,ok
pygosdt_v1,iris,,,0.1,0.34,6.0,3.0,0.0013029999681748,,optimal,,,,,,0.34,True,ok
pygosdt_v1,iris,,,0.05,0.19,6.0,3.0,0.001503582985606,,optimal,,,,,,0.19,True,ok
pygosdt_v1,iris,,,0.02,0.1,6.0,3.0,0.0255035000154748,,optimal,,,,,,0.1,True,ok
pygosdt_v1,iris,,,0.01,0.06,3.0,4.0,0.1378733339952305,,optimal,,,,,,0.06,True,ok
pygosdt_v1,iris,,,0.005,0.0383333333333333,2.0,5.0,0.5848042919533327,,optimal,,,,,,0.038333,True,ok
pygosdt_v1,monk_2,,,0.1,0.478698224852071,64.0,1.0,0.0006054159603081,,optimal,,,,,,0.478698,True,ok
pygosdt_v1,monk_2,,,0.05,0.428698224852071,64.0,1.0,0.0040494169807061,,optimal,,,,,,0.428698,True,ok
pygosdt_v1,monk_2,,,0.02,0.3589349112426035,37.0,7.0,0.0469673330080695,,optimal,,,,,,0.358935,True,ok
pygosdt_v1,monk_2,,,0.01,0.2650887573964497,11.0,20.0,0.1290817919652909,,optimal,,,,,,0.265089,True,ok
pygosdt_v1,monk_2,,,0.005,0.1527514792899408,3.0,27.0,0.2105822500307113,,optimal,,,,,,0.152751,True,ok
pygosdt_v1,tic-tac-toe,,,0.1,0.4465553235908142,332.0,1.0,0.0010938750347122,,optimal,,,,,,0.446555,True,ok
pygosdt_v1,tic-tac-toe,,,0.05,0.3965553235908142,332.0,1.0,0.0209742500446736,,optimal,,,,,,0.396555,True,ok
pygosdt_v1,tic-tac-toe,,,0.02,0.3183298538622129,190.0,6.0,1.6646004580543377,,optimal,,,,,,0.31833,True,ok
pygosdt_v1,tic-tac-toe,,,0.01,0.2507515657620042,154.0,9.0,11.506411415990442,,optimal,,,,,,0.250752,True,ok
pygosdt_v1,tic-tac-toe,,,0.005,0.1542797494780793,52.0,20.0,25.247831625049,,optimal,,,,,,0.15428,True,ok
pygosdt_v1,gaussian_1k,,,0.1,0.397,297.0,1.0,0.0103442500112578,,optimal,,,,,,0.397,True,ok
pygosdt_v1,gaussian_1k,,,0.05,0.275,125.0,3.0,0.7593710829969496,,optimal,,,,,,0.275,True,ok
pygosdt_v1,gaussian_1k,,,0.02,0.185,125.0,3.0,18.89700241701212,,optimal,,,,,,0.185,True,ok
pygosdt_v1,gaussian_1k,,,0.01,0.155,125.0,3.0,30.0,,time,,,,,,0.155,True,ok
pygosdt_v1,gaussian_1k,,,0.005,0.14,125.0,3.0,30.0,,time,,,,,,0.14,True,ok
pygosdt_v1,fico_1k,,,0.1,0.491,291.0,2.0,9.509336292045193,,optimal,,,,,,0.491,True,ok
pygosdt_v1,fico_1k,,,0.05,0.391,291.0,2.0,30.0,,time,,,,,,0.391,False,ok
pygosdt_v1,fico_1k,,,0.02,0.3309999999999999,291.0,2.0,30.0,,time,,,,,,0.331,False,ok
pygosdt_v1,fico_1k,,,0.01,0.311,291.0,2.0,30.0,,time,,,,,,0.311,False,ok
pygosdt_v1,fico_1k,,,0.005,0.301,291.0,2.0,30.0,,time,,,,,,0.301,False,ok
pygosdt_v1,sine_1k,,,0.1,0.595,495.0,1.0,2.88772183295805,,optimal,,,,,,0.595,True,ok
pygosdt_v1,sine_1k,,,0.05,0.545,495.0,1.0,30.0,,time,,,,,,0.545,False,ok
pygosdt_v1,sine_1k,,,0.02,0.494,454.0,2.0,30.0,,time,,,,,,0.494,False,ok
pygosdt_v1,sine_1k,,,0.01,0.474,454.0,2.0,30.0,,time,,,,,,0.474,False,ok
pygosdt_v1,sine_1k,,,0.005,0.4,340.0,12.0,30.0,,time,,,,,,0.4,False,ok
pygosdt_v1,car_evaluation,,,0.1,0.3997685185185186,518.0,1.0,0.0010846660006791,,optimal,,,,,,0.399769,True,ok
pygosdt_v1,car_evaluation,,,0.05,0.2946759259259259,250.0,3.0,0.006231958977878,,optimal,,,,,,0.294676,True,ok
pygosdt_v1,car_evaluation,,,0.02,0.2046759259259259,250.0,3.0,0.0612191670225001,,optimal,,,,,,0.204676,True,ok
pygosdt_v1,car_evaluation,,,0.01,0.1452314814814815,130.0,7.0,0.1957122500170953,,optimal,,,,,,0.145231,True,ok
pygosdt_v1,car_evaluation,,,0.005,0.1063425925925926,106.0,9.0,0.5767841250053607,,optimal,,,,,,0.106343,True,ok
pygosdt_v1,coupon_bar,,,0.1,0.5119184526921067,788.0,1.0,0.0001289169886149,,optimal,,,,,,0.511918,True,ok
pygosdt_v1,coupon_bar,,,0.05,0.4538944066910612,677.0,2.0,0.0015731670428067,,optimal,,,,,,0.453894,True,ok
pygosdt_v1,coupon_bar,,,0.02,0.3715525352848928,596.0,3.0,0.0072995829978026,,optimal,,,,,,0.371553,True,ok
pygosdt_v1,coupon_bar,,,0.01,0.3410977522216414,576.0,4.0,0.0277707499917596,,optimal,,,,,,0.341098,True,ok
pygosdt_v1,coupon_bar,,,0.005,0.3186199686356508,533.0,8.0,0.1841989170061424,,optimal,,,,,,0.31862,True,ok
pygosdt_v1,compas_binned,,,0.1,0.5610829593166353,2494.0,2.0,0.0002207499928772,,optimal,,,,,,0.561083,True,ok
pygosdt_v1,compas_binned,,,0.05,0.4610829593166353,2494.0,2.0,0.0002962499856948,,optimal,,,,,,0.461083,True,ok
pygosdt_v1,compas_binned,,,0.02,0.4010829593166353,2494.0,2.0,0.0010955000179819,,optimal,,,,,,0.401083,True,ok
pygosdt_v1,compas_binned,,,0.01,0.3748675256985666,2382.0,3.0,0.0044776250142604,,optimal,,,,,,0.374868,True,ok
pygosdt_v1,compas_binned,,,0.005,0.355968582597365,2286.0,5.0,0.0074940420454367,,optimal,,,,,,0.355969,True,ok
pygosdt_v1,fico_binary,,,0.1,0.5040443637058992,3180.0,2.0,0.0002481660339981,,optimal,,,,,,0.504044,True,ok
pygosdt_v1,fico_binary,,,0.05,0.4040443637058992,3180.0,2.0,0.0009852089569903,,optimal,,,,,,0.404044,True,ok
pygosdt_v1,fico_binary,,,0.02,0.3440443637058992,3180.0,2.0,0.0140150419902056,,optimal,,,,,,0.344044,True,ok
pygosdt_v1,fico_binary,,,0.01,0.3240443637058992,3180.0,2.0,0.2512562500196509,,optimal,,,,,,0.324044,True,ok
pygosdt_v1,fico_binary,,,0.005,0.308650922650349,3019.0,4.0,2.914489082992077,,optimal,,,,,,0.308651,True,ok
pygosdt_v1,compas_processed,,,0.1,0.411364187060819,3855.0,1.0,0.0138245410053059,,optimal,,,,,,0.411364,True,ok
pygosdt_v1,compas_processed,,,0.05,0.3613641870608189,3855.0,1.0,30.0,,time,,,,,,0.361364,False,ok
pygosdt_v1,compas_processed,,,0.02,0.3278604313060334,3564.0,2.0,30.0,,time,,,,,,0.32786,False,ok
pygosdt_v1,compas_processed,,,0.01,0.3078604313060334,3564.0,2.0,30.0,,time,,,,,,0.30786,False,ok
pygosdt_v1,compas_processed,,,0.005,0.2978604313060334,3564.0,2.0,30.0,,time,,,,,,0.29786,False,ok
pygosdt_v1_flat,chudi,,,0.1,0.464935064935065,5.0,4.0,0.0026539999525994,,optimal,,,,,,0.464935,True,ok
pygosdt_v1_flat,chudi,,,0.05,0.25,0.0,5.0,0.0052810000488534,,optimal,,,,,,0.25,True,ok
pygosdt_v1_flat,chudi,,,0.02,0.1,0.0,5.0,0.0096644579898566,,optimal,,,,,,0.1,True,ok
pygosdt_v1_flat,chudi,,,0.01,0.05,0.0,5.0,0.0098572089918889,,optimal,,,,,,0.05,True,ok
pygosdt_v1_flat,chudi,,,0.005,0.025,0.0,5.0,0.0100425419514067,,optimal,,,,,,0.025,True,ok
pygosdt_v1_flat,monk_3,,,0.1,0.5213114754098361,27.0,3.0,0.0005747909890487,,optimal,,,,,,0.521311,True,ok
pygosdt_v1_flat,monk_3,,,0.05,0.3713114754098361,27.0,3.0,0.0028517080354504,,optimal,,,,,,0.371311,True,ok
pygosdt_v1_flat,monk_3,,,0.02,0.2429508196721311,15.0,6.0,0.0207841660012491,,optimal,,,,,,0.242951,True,ok
pygosdt_v1_flat,monk_3,,,0.01,0.1555737704918032,8.0,9.0,0.0591061660088598,,optimal,,,,,,0.155574,True,ok
pygosdt_v1_flat,monk_3,,,0.005,0.0945901639344262,3.0,14.0,0.1015066250110976,,optimal,,,,,,0.09459,True,ok
pygosdt_v1_flat,monk_1,,,0.1,0.4661290322580645,33.0,2.0,0.0006254579639062,,optimal,,,,,,0.466129,True,ok
pygosdt_v1_flat,monk_1,,,0.05,0.3387096774193548,11.0,5.0,0.0024776249774731,,optimal,,,,,,0.33871,True,ok
pygosdt_v1_flat,monk_1,,,0.02,0.16,0.0,8.0,0.0071585840196348,,optimal,,,,,,0.16,True,ok
pygosdt_v1_flat,monk_1,,,0.01,0.08,0.0,8.0,0.0090897500049322,,optimal,,,,,,0.08,True,ok
pygosdt_v1_flat,monk_1,,,0.005,0.04,0.0,8.0,0.0098024170147255,,optimal,,,,,,0.04,True,ok
pygosdt_v1_flat,iris,,,0.1,0.34,6.0,3.0,0.0011728340177796,,optimal,,,,,,0.34,True,ok
